_id,numerocontrato,anocontrato,orgaocontratante,objetocontrato,origemcontrato,sequencialcompra,cnpjcontratado,cpfcontratado,razaonomecontratado,logradouroendcontratado,numeroendcontratado,complementoendcontratado,bairroendcontratado,cidadeendcontratado,estadoendcontratado,datainiciovigencia,datafimvigencia,valorcontrato1,valorcontrato2,situacaocontrato
3326,6406.0008/2014,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"SERVIÇO DE GERENCIAMENTO DO ABASTECIMENTO DE COMBUSTÍVEIS PARA A FROTA LOCADA E/ OU PRÓPRIA, CONFORME ESPECIFICAÇÕES E CONDIÇÕES PREVISTAS NO EDITAL E SEUS ANEXOS.",SARP,,8201104000176,,PETROCARD ADMINISTRADORA DE CREDITO LTDA,RUA SENADOR JOSE HENRIQUE,224,ED. ALF. NOBEL 2203,ILHA DO LEITE,RECIFE,PE,2014-04-01T00:00:00,2015-03-31T00:00:00,425004.0,425004.0,CADASTRADO
3327,6406.0009/2013,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ACOMPANHAMENTO E EMISSÃO DE INFORMATIVOS 
FORENSES DE PROCESSO FEDERAL, ESTADUAL, MUNICIPAL E DE ÓRGÃO CONSTITUCIONAIS.",DISPENSA,,940612000164,,INFOJURIS JULIETO INFORMAÇÕES LTDA,"",,"","","","",2013-09-03T00:00:00,2014-09-02T00:00:00,1020.0,1020.0,CADASTRADO
3328,6406.0009/2014,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"CONTRATAÇÃO DE SOCIEDADE DE ADVOGADOS PARA PRESTAÇÃO DE SERVIÇOS ADVOGATÍCIOS DE NATUREZA CÍVEL, TRABALHISTA, TRIBUTÁRIA-FISCAL, ADMINISTRATIVA E JUIZADOS ESPECIAIS PARA DEFESA DA CONTRATANTE.",LICITAÇÃO,,9092760000140,,"ROCHA, RAPOSO E ADVOGADOS","",,"","","","",2014-02-26T00:00:00,2015-02-25T00:00:00,79218.0,79218.0,CADASTRADO
3329,6406.0010/2013,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,SERVIÇOS DE IMPRESSÃO MEDIANTE A LOCAÇÃO DE 08 (OITO) EQUIPAMENTOS.,SARP,,41057324000143,,DATA VOICE COMERCIO E SERVICOS LTDA,AVENIDA CRUZ CABUGA,706,"",SANTO AMARO,RECIFE,PE,2013-09-27T00:00:00,2014-09-26T00:00:00,8960.0,7680.0,CADASTRADO
3330,6406.0011/2011,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"LOCAÇÃO DE IMÓVEL NÃO RESIDENCIAL, DESTINADO A VENDA DE TALÃO DE ZONA AZUL.",INEXIGIBILIDADE,,,997374420,ARIVALDO MACEDO,"",,"","","","",2011-10-06T00:00:00,2014-10-05T00:00:00,50594.16,16050.0,CADASTRADO
3331,6406.0011/2012,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,FORNECIMENTO DE PASSAGENS AÉREAS NACIONAIS E INTERNACIONAIS.,SARP,,1294543000121,,LUZI PASSAGENS TURISMO LOCACAO E REPRESENTACAOES LTDA ME,RUA PADRE CARAPUCEIRO,968,SALA 1306,BOA VIAGEM,RECIFE,PE,2012-06-26T00:00:00,2013-09-25T00:00:00,75000.0,60000.0,CADASTRADO
3332,6406.0011/2013,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE COLETA E ENTREGA DE PROCESSOS E DOCUMENTOS, COM UTILIZAÇÃO DE MOTOCICLISTAS COM CONDUTORES -
MOTOFRETE.",LICITAÇÃO,,323090000151,,SOLL SERVICOS OBRAS E LOCACOES LTDA,AVENIDA PROFESSOR ANDRADE BEZERRA,1523,"",SALGADINHO,OLINDA,PE,2013-11-01T00:00:00,2014-10-31T00:00:00,72824.8,69600.0,CADASTRADO
3333,6406.0011/2014,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA CONFECÇÃO DE 500 CAVALETES, PARA SUPRIR A NECESSIDADE DA CTTU.",LICITAÇÃO,,12558114000130,,L CORDEIRO COMERCIO E SERVICOS DE MATERIAL DE CONSTRUCAO LTDA - ME,AVENIDA CAXANGA,2354,"",CORDEIRO,RECIFE,PE,2014-02-25T00:00:00,2015-02-24T00:00:00,62250.0,62250.0,CADASTRADO
3334,6406.0012/2012,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,SERVIÇO DE GERENCIAMENTO DE ABASTECIMENTO DE COMBUSTÍVEL.,SARP,,8201104000176,,PETROCARD ADMINISTRADORA DE CREDITO LTDA,RUA SENADOR JOSE HENRIQUE,224,ED. ALF. NOBEL 2203,ILHA DO LEITE,RECIFE,PE,2012-10-19T00:00:00,2014-10-18T00:00:00,1397891.04,698945.52,CADASTRADO
3335,6406.0012/2013,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE 02 (DOIS) TÉCNICOS EM ELETRÔNICA.,SARP,,1781573000162,,R P L ENGENHARIA E SERVICOS LTDA,RUA SAO CAETANO,359,CASA,CAMPO GRANDE,RECIFE,PE,2013-09-23T00:00:00,2014-09-22T00:00:00,161027.28,161027.28,CADASTRADO
3336,6406.0012/2014,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"CONTRATAÇÃO DE EMPRESA DE CONSULTORIA ESPECIALIZADA PARA REALIZAR SERVIÇOS DE LEVANTAMENTO DE DADOS DE COMPO, PESQUISA DE TRÁFEGO E DE MICROSSIMULAÇÃO DE REDE DE TRÁFEGO NO MUNICIPIO DO RECIFE , CONSIDERANDO O DESEMPENHO DA CIRCULAÇÃO DOS VEICULOS, PEDETRES E CICLITAS.",LICITAÇÃO,,8103958000110,,IMTRAFF CONSULTORIA E PROJETOS DE ENGENHARIA LTDA ME,AVENIDA CRISTIANO MACHADO,640,"",GRACA,BELO HORIZONTE,MG,2014-04-07T00:00:00,2015-04-06T00:00:00,1264991.66,1264991.66,CADASTRADO
3337,6406.0013/2010,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"PRESTAÇÃO DE SERVIÇOS DE AUDITORIA INDEPENDENTE, TUDO DE ACORDO COM A TOMADA DE PREÇO Nº002/2010, TERMO DE REFERÊNCIA E PROPOSTA VENCEDORA E SEUS ANEXOS.",LICITAÇÃO,,2163575001041,,AUDILINK & CIA. AUDITORES,"",,"","","","",2010-05-26T00:00:00,2014-05-25T00:00:00,89512.18,22020.0,CADASTRADO
3338,6406.0013/2013,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"EMPRESA ESPECIALIZADA EM FORNECIMENTO DE MATERIAL DE SINALIZAÇÃO GRÁFICA, ESPECIFICAMENTE PARA OS LOTES 01, 02, 04 E 06.",LICITAÇÃO,,11574829000114,,SIRGA ENGENHARIA E CONTROLE DE QUALIDADE LTDA,RUA RIBEIRO PESSOA,474,"",CAXANGA,RECIFE,PE,2013-11-04T00:00:00,2014-11-03T00:00:00,362525.0,362525.0,CADASTRADO
3339,6406.0013/2014,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"SERVIÇOS COM A DISPONIBILIZAÇÃO, INSTALAÇÃO, MANUTENÇÃO E OPERAÇÃO DE EQUIPAMENTOS DE FISCALIZAÇÃO ELETRÔNICA DE AVANÇO DE SEMÁFORO, PARADA SOBRE A FAIXA DE PEDESTRES, RESTRIÇÃO DE CIRCULAÇÃO DE VEÍCULOS, EXCESSO DE VELOCIDADE, CONVERSÕES E RETORNOS PROIBIDOS, BEM COMO O MONITORAMENTO DO TRÂNSITO NO MUNICÍPIO DO RECIFE.",LICITAÇÃO,,24144040000175,,SERTTEL SOLUÇÕES EM MOBILIDADE E SEGURANÇA URBANA LTDA,RUA POETA CARLOS DRUMMOND DE ANDRADE,500,"",VARZEA,RECIFE,PE,2014-05-09T00:00:00,2016-05-08T00:00:00,6678934.1,6678934.1,CADASTRADO
3340,6406.0014/2012,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,SERVIÇOS DE LOCAÇÃO DE DE VIATURAS TIPO MOTOCICLETAS .,LICITAÇÃO,,4741395000134,,ANDRADE BARROS LOGISTICA E SERVICOS LTDA,RUA ALEXANDRE RODRIGUES FERREIRA,140,"",AFOGADOS,RECIFE,PE,2012-06-21T00:00:00,2014-08-20T00:00:00,849120.0,351360.0,CADASTRADO
3341,6406.0014/2013,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"EMPRESA ESPECIALIZADA EM FORNECIMENTO DE MATERIAL DE SINALIZAÇÃO GRÁFICA, ESPECIFICAMENTE PARA OS LOTES 03, 05, 07 E 08.",LICITAÇÃO,,8439201000100,,S N SINALIZADORA NACIONAL E SERVICOS LTDA,RUA ANTONIO LUMACK DO MONTE,128,SL 203 EMPCENTER III,BOA VIAGEM,RECIFE,PE,2013-11-04T00:00:00,2014-11-03T00:00:00,745598.8,745598.8,CADASTRADO
3342,6406.0014/2014,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,SERVIÇOS DE ENCADERNAÇÃO DE LIVROS CONTÁBEIS,LICITAÇÃO,,8829277000133,,PERFILGRAFICA LTDA ME,RUA ALAMEDA DAS HORTENSIAS,48,"",IMBIRIBEIRA,RECIFE,PE,2014-05-22T00:00:00,2015-05-21T00:00:00,17280.0,17280.0,CADASTRADO
3343,6406.0014/2015,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,PRESTAÇÃO DE SERVIÇO TERCEIRIZADO DIGITADOR.,SARP,,9281162000110,,TOPPUS SERVICOS TERCEIRIZADOS EIRELI,RUA IGACI,20,GALPÃO TERREO,N. SENHORA DA CONCEIÇÃO,PAULISTA,PE,2015-08-28T00:00:00,2016-08-27T00:00:00,450221.52,450221.52,CADASTRADO
3344,6406.0015/2011,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"SERVIÇO DE IMPLANTAÇÃO, MANUTENÇÃO E OPERAÇÃO DE SOLUÇÕES TECNOLÓGICAS INTEGRADAS PARA A FISCALIZAÇÃO E MONITORAMENTO DA CIRCULAÇÃO DE VEÍCULOS.",LICITAÇÃO,,24144040000175,,SERTTEL SOLUÇÕES EM MOBILIDADE E SEGURANÇA URBANA LTDA,RUA POETA CARLOS DRUMMOND DE ANDRADE,500,"",VARZEA,RECIFE,PE,2011-11-07T00:00:00,2015-11-06T00:00:00,9292624.28,2353695.0,CADASTRADO
3345,6406.0015/2012,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE GUINCHAMENTO 
E REBOQUE DE VEÍCULOS LEVES E PESADOS, MOVIMENTAÇÃO E REMOÇÃO DE BLOCOS DE CONCRETO E OUTROS EQUIPAMENTOS E MATERIAIS NAS VIAS PUBLICAS DO RECIFE, COM UTILIZAÇÃO DE GUINCHO HIDRÁULICO, GUINDASTE HIDRÁULICO TIPO MUNCK E CAMBÃ, ACOPLADO A CHASSI DE CAMINHÃO, COM MOTORISTA DEVIDAMENTE HABILITADO, COMBUSTÍVEL, PEÇAS E FERRAMENTO.",LICITAÇÃO,,11322415000106,,C MEDEIROS LOCADORA LTDA  ME,RUA FLAVIO GUERRA,18,"",MACAXEIRA,RECIFE,PE,2012-08-01T00:00:00,2014-07-31T00:00:00,3446879.71,2248999.44,CADASTRADO
3346,6406.0015/2013,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,SERVIÇOS DE CONFECÇÃO E FORNECIMENTO DE 30.000 (TRINTA MIL) TALÕES PARA UTILIZAÇÃO NO SISTEMA DE ESTACIONAMENTO DE ROTATIVO ZONA AZUL NA CIDADE DO RECIFE.,LICITAÇÃO,,35957760000176,,FORMASET INDUSTRIAL LTDA,AVENIDA TALMA RODRIGUES RIBEIRO,,LOTE 08/ QUADRA XI,CIVIT II,SERRA,ES,2013-11-04T00:00:00,2014-11-03T00:00:00,392400.0,32700.0,CADASTRADO
3347,6406.0016/2011,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,PRESTAÇÃO DE SERVIÇOS DE CONTABILIDADE.,LICITAÇÃO,,3396476000181,,M S CONTADORES ASSOCIADOS LTDA,RUA BISPO CARDOSO AYRES,335,SALA 104,SOLEDADE,RECIFE,PE,2011-11-23T00:00:00,2013-11-22T00:00:00,73500.0,73500.0,CADASTRADO
3348,6406.0016/2012,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"SERVIÇOS DE GUINCHAMENTO E REBOQUE DE VEÍCULOS LEVES E PESADOS, MOVIMENTAÇÃO E REMOÇÃO DE BLOCOS DE CONCRETO E OUTROS EQUIPAMENTOS E MATÉRIAS NAS VIAS PÚBLICAS DO RECIFE.",LICITAÇÃO,,13753226000105,,"ATLANTA COMÉRCIO E SERVIÇOS, IMPORTAÇÃO E EXPORTAÇÃO LTDA",AVENIDA ENGENHEIRO ABDIAS DE CARVALHO,807,"",PRADO,RECIFE,PE,2012-08-01T00:00:00,2014-07-31T00:00:00,449982.0,449982.0,CADASTRADO
3349,6406.0016/2013,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"PRESTAÇÃO DE SERVIÇOS NA GESTÃO INTEGRADA PARA APOIO OPERACIONAL, CONTROLE E MONITORAMENTO NOS CORREDORES DE TRÁFEGO DA CIDADE DO RECIFE, VISANDO A FLUIDEZ E A SEGURANÇA DO TRÂNSITO.",LICITAÇÃO,,24144040000175,,SERTTEL SOLUÇÕES EM MOBILIDADE E SEGURANÇA URBANA LTDA,RUA POETA CARLOS DRUMMOND DE ANDRADE,500,"",VARZEA,RECIFE,PE,2013-11-12T00:00:00,2014-11-11T00:00:00,15989493.87,15989493.87,CADASTRADO
3350,6406.0016/2014,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"CONTRATAÇÃO DE EMPRESA NO RAMO DE ENGENHARIA DA CONSTRUÇÃO CIVIL, PARA EXECUÇÃODE SERVIÇOS DE REPARAÇÃO DA CASA Nº 22, UTILIZADA 
PELA COORDENAÇÃO DA ZONA AZUL DA CTTU, LOCALIZADA NO PÁTIO DE SÃO PEDRO, RECIFE/PE.",INEXIGIBILIDADE,,7811641000175,,MARINHO CONSTRUCOES EIRELI,RUA FRANCISCO VITA,702,"",CORDEIRO,RECIFE,PE,2014-06-21T00:00:00,2014-08-21T00:00:00,19088.64,19088.64,CADASTRADO
3351,6406.0017/2011,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"SERVIÇO DE PUBLICIDADE E PROPAGANDA, DESTINADA A CAMPANHAS EDUCATIVAS.",LICITAÇÃO,,8668863000143,,MC PRODUCOES PROMOCOES E EVENTOS CULTURAIS LTDA,AVENIDA DOUTOR BELMINIO CORREIA,2147,LOJA 42,CENTRO,CAMARAGIBE,PE,2011-12-05T00:00:00,2014-06-04T00:00:00,2993500.0,351000.0,CADASTRADO
3352,6406.0017/2013,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"SERVIÇOS DE IMPLANTAÇÃO E MANUTENÇÃO DE SINALIZAÇÃO HORIZONTAL (PINTURA), NAS CICLOVIAS E CICLORROTAS DO MUNICIPIO.",LICITAÇÃO,,55386445000143,,SINALTA PROPISTA SINALIZAC?O SEGURANCA E COM. VISUAL LTDA,RUA SALVADOR PADILHA GIMENES,117,"",VILA SANTA MARIA,SAO PAULO,SP,2013-12-02T00:00:00,2014-12-02T00:00:00,559500.0,559500.0,CADASTRADO
3353,6406.0018/2012,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"SERVIÇOS ESPECIALIZADOS DE CLIMATIZAÇÃO, CONSISTINDO NA LOCAÇÃO DE EQUIPAMENTOS, INSTALAÇÃO E MANUTENÇÃO PREVENTIVA E CORRETIVA DE CENTRAIS E APARELHOS DE AR CONDICIONADO TIPO SELF, SPLIT, E JANELA, INCLUINDO OS DE PROPRIEDADE DA CTTU.",LICITAÇÃO,,12785572000102,,FRIOMAQ REFRIGERACAO LTDA,RUA COPACABANA,725,GALPÃO 0001,BOA VIAGEM,RECIFE,PE,2012-10-15T00:00:00,2013-10-14T00:00:00,554795.8,172560.0,CADASTRADO
3354,6406.0018/2013,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE CONSULTORIA PARA ELABORAÇÃO DE PROJETO EXECUTIVO DE 12 ROTAS PARA CICLOVIAS OU CICLOFAIXAS, OU INDICAÇÃO DE CICLORROTAS E ""ZONAS 30"" NO MUNICÍPIO DO RECIFE, DEFINIDOS EM ESTUDOS E PROPOSTAS DE ITINERÁRIOS.",LICITAÇÃO,,11019554000157,,PDCA ENGENHARIA PLANEJAMENTO DESENVOLVIMENTO CONSULTORIA E ASSESSORIA LTDA EPP,RUA GUIMARAES PEIXOTO,75,"SALAS 1601 , 1605",CASA AMARELA,RECIFE,PE,2013-12-09T00:00:00,2014-07-08T00:00:00,262202.76,262202.76,CADASTRADO
3355,6406.0019/2012,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"SERVIÇOS DE LOCAÇÃO DE VEÍCULOS, SEM MOTORISTA E SEM COMBUSTÍVEL.",LICITAÇÃO,,6997469000123,,LOCARALPI ALUGUEL DE VEICULOS LTDA,RUA JOAO EUGENIO DE LIMA,143,SALA 01 CXP: 389,BOA VIAGEM,RECIFE,PE,2012-08-09T00:00:00,2013-08-08T00:00:00,57684.32,23400.0,CADASTRADO
3356,6406.0019/2013,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"EMPRESA ESPECIALIZADA NO FORNECIMENTO DE SUPRIMENTOS DE INFORMATICA, ESPECIFICAMENTE PARA OS ITENS 18 E 20.",LICITAÇÃO,,1148359000173,,GECINEIDE BATISTA ALBUQUERQUE ESPINDOLA ME,RUA ERNANI BRAGA,267,SALA 01,MADALENA,RECIFE,PE,2013-12-11T00:00:00,2014-11-10T00:00:00,18150.0,18150.0,CADASTRADO
3357,6406.0020/2012,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"SERVIÇOS DE LOCAÇÃO DE VEÍCULOS, SEM MOTORISTA E SEM COMBUSTÍVEL.",LICITAÇÃO,,329696000102,,LOCADORA DE VEICULOS CAXANGA LTDA,TRAVESSA RIBEIRO ROMA,100,FUNDOS,ZUMBI,RECIFE,PE,2012-08-09T00:00:00,2013-12-31T00:00:00,57342.0,41040.0,CADASTRADO
3358,6406.0020/2013,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE SUPRIMENTOS DE INFORMATICA.,LICITAÇÃO,,3743073000161,,TECSUPRI MAQUINAS SUPRIMENTOS E SERVICOS LTDA EPP,RUA DO  SOSSEGO,555,"",BOA VISTA,RECIFE,PE,2013-12-11T00:00:00,2014-12-10T00:00:00,7524.0,7524.0,CADASTRADO
3359,6406.0021/2012,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,SERVIÇO DE LOCAÇÃO DE VEÍCULOS.,SARP,,1354321000157,,INTER LOCAÇOES LTDA,AVENIDA PAN NORDESTINA,3265,VL.BERNARDO V. MELO,VILA POPULAR,OLINDA,PE,2012-10-08T00:00:00,2014-10-07T00:00:00,1324800.0,662400.0,CADASTRADO
3360,6406.0021/2013,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"CONTRATAÇÃO DE EMPRESA DE ENGENHARIA, NO RAMO DA CONSTRUÇÃO CIVIL, PARA EXECUÇÃO DE SERVIÇOS DE REPARAÇÃO DO EDIFÍCIO SEDE DA COMPANHIA DE TRANSITO E TRANSPORTE URBANO - CTTU.",LICITAÇÃO,,11868307000125,,CONSTRUCON CONSTRUCOES E CONSULTORIA EIRELI,RUA DA  CONCORDIA,630,SALA 103,SAO JOSE,RECIFE,PE,2013-12-18T00:00:00,2014-03-17T00:00:00,296000.1,296000.1,CADASTRADO
3361,6406.0022/2010,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,PRESTAÇÃO DE SERVIÇOS DE TELEFONIA ATRAVÉS DO SISTEMA DE 0800.,LICITAÇÃO,,8966334000126,,ACESSE SERVIÇOS DE MAO DE OBRA E INFORMATICA EIRELI,RUA PADRE NOBREGA,178,PARTE A,BARRO,RECIFE,PE,2010-12-01T00:00:00,2013-11-30T00:00:00,1293645.45,55954.74,CADASTRADO
3362,6406.0023/2010,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,DIGITAÇÃO DE AUTOS E BOLETINS ORIGINADOS DE INFRAÇÕES DE TRÂNSITO.,LICITAÇÃO,,8966334000126,,ACESSE SERVIÇOS DE MAO DE OBRA E INFORMATICA EIRELI,RUA PADRE NOBREGA,178,PARTE A,BARRO,RECIFE,PE,2010-12-01T00:00:00,2013-11-30T00:00:00,1198712.32,80696.2,CADASTRADO
3363,6406.0023/2012,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"SERVIÇOS ESPECIALIZADOS DE CLIMATIZAÇÃO, CONSISTINDO NA LOCAÇÃO DE EQUIPAMENTOS, INSTALAÇÃO E MANUTENÇÃO PREVENTIVA E CORRETIVA DE CENTRAIS E APARELHOS DE AR CONDICIONADO TIPO SELF, SPLIT, E JANELA, INCLUINDO OS DE PROPRIEDADE DA CTTU.",LICITAÇÃO,,24340135000164,,CICLAR CICLO DE AR ASSISTENCIA TECNICA LTDA EPP,RUA ALEXANDRE DE GUSMAO,14,"",CORDEIRO,RECIFE,PE,2012-10-15T00:00:00,2014-10-14T00:00:00,38400.0,38400.0,CADASTRADO
3364,6406.0024/2014,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A PRESTAÇÃO DE SERVIÇOS, COM DISPONIBILIZAÇÃO, INSTALAÇÃO, MANUTENÇÃO E OPERAÇÃO DE EQUIPAMENTOS DE FISCALIZAÇÃO ELETRÔNICA EM CORREDORES DE CIRCULAÇÃO EXCLUSIVA - FAIXA AZUL E FAIXAS NÃO EXCLUSIVAS NA CIDADE DO RECIFE.",LICITAÇÃO,,24144040000175,,SERTTEL SOLUÇÕES EM MOBILIDADE E SEGURANÇA URBANA LTDA,RUA POETA CARLOS DRUMMOND DE ANDRADE,500,"",VARZEA,RECIFE,PE,2014-10-30T00:00:00,2016-10-29T00:00:00,67770.56,17988926.18,CADASTRADO
3365,6406.0025/2012,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,SERVIÇO TÉCNICO ESPECIALIZADO COM A DISPONIBILIZAÇÃO DE SOLUÇÕES TECNOLÓGICAS INTEGRADAS PARA A GESTÃO DA REDE SEMAFÓRICA.,LICITAÇÃO,,24144040000175,,SERTTEL SOLUÇÕES EM MOBILIDADE E SEGURANÇA URBANA LTDA,RUA POETA CARLOS DRUMMOND DE ANDRADE,500,"",VARZEA,RECIFE,PE,2012-09-03T00:00:00,2013-09-02T00:00:00,13871106.24,6935553.12,CADASTRADO
3366,6406.0026/2012,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"SERVIÇO DE MANUTENÇÃO PREVENTIVA E CORRETIVA COM REPOSIÇÃO DE PEÇAS E COMPONENTES, QUANDO NECESSÁRIOS DO RELÓGIO DE PONTO E DO REGISTRADOR DE PROTOCOLO.",INEXIGIBILIDADE,,12854089000132,,ELETROPONTO COMÉRCIO E SERVIÇOS LTDA,"",,"","","","",2012-09-03T00:00:00,2014-09-02T00:00:00,4800.0,2400.0,CADASTRADO
3367,6406.0027/2012,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"SERVIÇOS DE ENGENHARIA DE TRÂNSITO, REFERENTES À IMPLANTAÇÃO E MANUTENÇÃO DE SINALIZAÇÃO HORIZONTAL E VERTICAL NAS VIAS URBANAS DO RECIFE.",LICITAÇÃO,,40869463000109,,ESSE ENGENHARIA SINALIZACAO E SERVICOS ESPECIAIS LTDA,RUA PADRE CARAPUCEIRO,910,SALA 1701,BOA VIAGEM,RECIFE,PE,2012-09-04T00:00:00,2014-03-03T00:00:00,2868288.22,819426.3,CADASTRADO
3368,6406.0028/2012,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,"SERVIÇOS DE ENGENHARIA DE TRÂNSITO, REFERENTES À IMPLANTAÇÃO E MANUTENÇÃO DE SINALIZAÇÃO HORIZONTAL E VERTICAL NAS VIAS URBANAS DO RECIFE.",LICITAÇÃO,,40869463000109,,ESSE ENGENHARIA SINALIZACAO E SERVICOS ESPECIAIS LTDA,RUA PADRE CARAPUCEIRO,910,SALA 1701,BOA VIAGEM,RECIFE,PE,2012-09-04T00:00:00,2014-03-03T00:00:00,2868278.9,819426.3,CADASTRADO
3369,6406.0029/2012,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,CONTRATAÇÃO DE SERVIÇO MÓVEL ESPECIALIZADO E DISPONIBILIZAÇÃO EM REGIME DE LOCAÇÃO DE APARELHOS DE COMUNICAÇÃO VIA RÁDIO.,DISPENSA,,66970229000914,,NEXTEL TELECOMUNICACOES LTDA,RUA AGENOR LOPES,277,SALA 302,BOA VIAGEM,RECIFE,PE,2012-08-25T00:00:00,2014-06-30T00:00:00,620640.0,155160.0,CADASTRADO
3370,6406.0030/2012,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,SOLUÇÕES TECNOLÓGICAS DE SISTEMAS DE TELECOMUNICAÇÕES VIA RÁDIO.,LICITAÇÃO,,5291944000189,,RADIUM TELECOMUNICACOES LTDA,RUA GENERAL ABREU E LIMA,197,"",PIEDADE,JABOATAO DOS GUARARAPES,PE,2012-09-13T00:00:00,2014-09-12T00:00:00,2199999.96,1008333.26,CADASTRADO
3371,6406.0036/2012,,CTTU - AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE,PRESTAÇÃO DE SERVIÇO DE SUPORTE A APOIO À GESTÃO E CONTROLE DA FISCALIZAÇÃO E REGISTRO DE OCORRÊNCIA DE TRÂNSITO.,LICITAÇÃO,,24144040000175,,SERTTEL SOLUÇÕES EM MOBILIDADE E SEGURANÇA URBANA LTDA,RUA POETA CARLOS DRUMMOND DE ANDRADE,500,"",VARZEA,RECIFE,PE,2012-11-06T00:00:00,2013-11-05T00:00:00,3374434.46,3374434.46,CADASTRADO
